province,year,all_wage,health_wage,ratio,r1,intensity
安徽省,2024,105416.0,136234.0,1.2923465128633225,0,89.0
安徽省,2023,103688.0,136840.0,1.3197284160172826,0,62.5
安徽省,2022,98649.0,133119.0,1.3494206732962322,0,50.0
安徽省,2021,93861.0,125732.0,1.3395552998583011,0,37.5
安徽省,2020,85854.0,115979.0,1.3508863885200457,0,25.0
安徽省,2019,79037.0,105423.0,1.3338436428508167,0,12.5
安徽省,2018,74378.0,96596.0,1.298717362661002,0,0.0
安徽省,2017,65150.0,83435.0,1.2806600153491943,0,0.0
安徽省,2016,59102.0,71104.0,1.2030726540557004,0,0.0
福建省,2024,112377.0,157960.0,1.4056257063278073,1,178.0
福建省,2023,108520.0,164846.0,1.5190379653520087,1,125.0
福建省,2022,103803.0,156258.0,1.5053322158319125,1,100.0
福建省,2021,98071.0,142942.0,1.45753586687196,1,75.0
福建省,2020,88149.0,127830.0,1.4501582547731682,1,50.0
福建省,2019,81814.0,119961.0,1.4662649424303908,1,25.0
福建省,2018,74316.0,110082.0,1.4812691748748588,1,0.0
福建省,2017,67420.0,96333.0,1.4288490062296055,1,0.0
福建省,2016,61973.0,87997.0,1.4199248059638876,1,0.0
江西省,2024,95750.0,122274.0,1.2770130548302872,0,89.0
江西省,2023,92794.0,124536.0,1.3420695303575663,0,62.5
江西省,2022,87972.0,117922.0,1.3404492338471332,0,50.0
江西省,2021,83766.0,113976.0,1.360647518086097,0,37.5
江西省,2020,78182.0,103695.0,1.3263283108643933,0,25.0
江西省,2019,73725.0,96226.0,1.3052017633095965,0,12.5
江西省,2018,68573.0,87882.0,1.2815831303865952,0,0.0
江西省,2017,61429.0,78366.0,1.2757166810464113,0,0.0
江西省,2016,56136.0,70701.0,1.2594591705857203,0,0.0
山东省,2024,108131.0,130421.0,1.2061388500984918,0,89.0
山东省,2023,107131.0,132962.0,1.2411160168391968,0,62.5
山东省,2022,102247.0,125386.0,1.2263049282619538,0,50.0
山东省,2021,94768.0,117288.0,1.2376329562721593,0,37.5
山东省,2020,87749.0,106272.0,1.211090724680623,0,25.0
山东省,2019,81446.0,100037.0,1.228261670309162,0,12.5
山东省,2018,73593.0,88758.0,1.2060657943010884,0,0.0
山东省,2017,68081.0,84745.0,1.244767262525521,0,0.0
山东省,2016,62539.0,78411.0,1.2537936327731496,0,0.0
河南省,2024,86199.0,99230.0,1.15117344748779,0,89.0
河南省,2023,84156.0,101133.0,1.2017324967916727,0,62.5
河南省,2022,77627.0,92180.0,1.1874734306362478,0,50.0
河南省,2021,74872.0,89435.0,1.1945052890266055,0,37.5
河南省,2020,70239.0,82555.0,1.175344182007147,0,25.0
河南省,2019,67268.0,81520.0,1.2118689421418802,0,12.5
河南省,2018,63174.0,77481.0,1.2264697502136954,0,0.0
河南省,2017,55495.0,74914.0,1.3499234165240113,0,0.0
河南省,2016,49505.0,61045.0,1.233107766892233,0,0.0
湖北省,2024,108795.0,131069.0,1.2047336734224918,0,89.0
湖北省,2023,109227.0,140527.0,1.2865591840845212,0,62.5
湖北省,2022,101388.0,128376.0,1.266185347378388,0,50.0
湖北省,2021,96994.0,120470.0,1.2420355898302988,0,37.5
湖北省,2020,85052.0,95982.0,1.1285096176456755,0,25.0
湖北省,2019,79303.0,93189.0,1.1751005636608955,0,12.5
湖北省,2018,73777.0,88178.0,1.195196334901121,0,0.0
湖北省,2017,65912.0,79354.0,1.2039385847797062,0,0.0
湖北省,2016,59831.0,69692.0,1.1648142267386472,0,0.0
湖南省,2024,97170.0,121943.0,1.2549449418544818,0,89.0
湖南省,2023,97015.0,127551.0,1.3147554501881153,0,62.5
湖南省,2022,91413.0,122074.0,1.3354118123242864,0,50.0
湖南省,2021,85438.0,117192.0,1.3716613216601512,0,37.5
湖南省,2020,79122.0,107458.0,1.3581304820403932,0,25.0
湖南省,2019,74316.0,98446.0,1.3246945476075138,0,12.5
湖南省,2018,70221.0,95776.0,1.3639224733341877,0,0.0
湖南省,2017,63690.0,87879.0,1.3797927461139896,0,0.0
湖南省,2016,58241.0,77796.0,1.3357600315928642,0,0.0
广东省,2024,135395.0,196745.0,1.4531186528306068,1,178.0
广东省,2023,131418.0,197354.0,1.501727312849077,1,125.0
广东省,2022,124916.0,189974.0,1.5208139869992634,1,100.0
广东省,2021,118133.0,175780.0,1.487983882573032,1,75.0
广东省,2020,108045.0,160600.0,1.4864176963302327,1,50.0
广东省,2019,98889.0,148119.0,1.497830901313594,1,25.0
广东省,2018,88636.0,118701.0,1.3391962633692855,1,0.0
广东省,2017,79183.0,107710.0,1.3602667239180126,1,0.0
广东省,2016,72326.0,94663.0,1.308837762353787,1,0.0
广西壮族自治区,2024,96547.0,119615.0,1.2389302619449594,0,89.0
广西壮族自治区,2023,96184.0,120491.0,1.252713549031024,0,62.5
广西壮族自治区,2022,92066.0,121271.0,1.3172180826798165,0,50.0
广西壮族自治区,2021,88170.0,114421.0,1.2977316547578541,0,37.5
广西壮族自治区,2020,82751.0,105839.0,1.2790056917741175,0,25.0
广西壮族自治区,2019,76479.0,100523.0,1.3143869558963899,0,12.5
广西壮族自治区,2018,70606.0,88795.0,1.2576126674786845,0,0.0
广西壮族自治区,2017,63821.0,79005.0,1.237915419689444,0,0.0
广西壮族自治区,2016,57878.0,71529.0,1.2358581844569612,0,0.0
海南省,2024,117433.0,137358.0,1.1696712167789292,0,89.0
海南省,2023,114572.0,131695.0,1.1494518730579897,0,62.5
海南省,2022,104802.0,121464.0,1.1589855155435964,0,50.0
海南省,2021,97471.0,110212.0,1.130715802648993,0,37.5
海南省,2020,86609.0,105694.0,1.2203581613920031,0,25.0
海南省,2019,82227.0,98159.0,1.1937563087550318,0,12.5
海南省,2018,75885.0,85815.0,1.1308559003755683,0,0.0
海南省,2017,67727.0,79350.0,1.1716154561696221,0,0.0
海南省,2016,61663.0,74765.0,1.2124774986620825,0,0.0
重庆市,2024,117546.0,146089.0,1.2428240858897792,1,178.0
重庆市,2023,113653.0,158423.0,1.3939183303564358,1,125.0
重庆市,2022,107008.0,148341.0,1.3862608403110048,1,100.0
重庆市,2021,101670.0,143140.0,1.4078882659584933,1,75.0
重庆市,2020,93816.0,131163.0,1.3980877462266563,1,50.0
重庆市,2019,86559.0,114811.0,1.3263900923069813,1,25.0
重庆市,2018,78928.0,108037.0,1.3688044800324346,1,0.0
重庆市,2017,70889.0,96197.0,1.357008844813723,1,0.0
重庆市,2016,65545.0,87162.0,1.3298039514837134,1,0.0
四川省,2024,110177.0,132251.0,1.200350345353386,1,178.0
四川省,2023,110160.0,138142.0,1.2540123456790124,1,125.0
四川省,2022,101800.0,129507.0,1.272170923379175,1,100.0
四川省,2021,96741.0,121042.0,1.251196493730683,1,75.0
四川省,2020,88559.0,111990.0,1.2645806750302058,1,50.0
四川省,2019,83367.0,109055.0,1.3081315148679933,1,25.0
四川省,2018,77686.0,98306.0,1.2654274901526659,1,0.0
四川省,2017,69419.0,89706.0,1.2922398766908194,1,0.0
四川省,2016,63926.0,82150.0,1.2850796233144572,1,0.0
贵州省,2024,103867.0,118852.0,1.1442710389247788,0,89.0
贵州省,2023,102010.0,119350.0,1.16998333496716,0,62.5
贵州省,2022,95410.0,114343.0,1.1984383188345038,0,50.0
贵州省,2021,94487.0,112348.0,1.189031295310466,0,37.5
贵州省,2020,89228.0,105109.0,1.1779822477249293,0,25.0
贵州省,2019,83298.0,91883.0,1.1030636990083795,0,12.5
贵州省,2018,78316.0,86763.0,1.1078579089841156,0,0.0
贵州省,2017,71795.0,82248.0,1.1455950971516122,0,0.0
贵州省,2016,66279.0,73553.0,1.1097481856998446,0,0.0
云南省,2024,110206.0,121123.0,1.0990599422898935,0,89.0
云南省,2023,106769.0,119497.0,1.1192106322996376,0,62.5
云南省,2022,103128.0,115403.0,1.1190268404313086,0,50.0
云南省,2021,98730.0,107656.0,1.090408183935987,0,37.5
云南省,2020,93133.0,101348.0,1.0882071875704638,0,25.0
云南省,2019,86585.0,94059.0,1.0863198013512734,0,12.5
云南省,2018,75701.0,87406.0,1.1546214713147778,0,0.0
云南省,2017,69106.0,82232.0,1.1899400920325298,0,0.0
云南省,2016,60450.0,71550.0,1.183622828784119,0,0.0
西藏自治区,2024,161694.0,165672.0,1.0246020260492041,0,89.0
西藏自治区,2023,165004.0,160758.0,0.9742672904899276,0,62.5
西藏自治区,2022,154929.0,158476.0,1.0228943580607892,0,50.0
西藏自治区,2021,140355.0,146732.0,1.0454347903530334,0,37.5
西藏自治区,2020,121005.0,128525.0,1.062146192306103,0,25.0
西藏自治区,2019,118118.0,127751.0,1.0815540391811578,0,12.5
西藏自治区,2018,116015.0,124550.0,1.0735680730939965,0,0.0
西藏自治区,2017,108817.0,108099.0,0.9934017662681383,0,0.0
西藏自治区,2016,103232.0,109091.0,1.0567556571605703,0,0.0
陕西省,2024,111921.0,108916.0,0.9731507045147917,1,178.0
陕西省,2023,106969.0,105843.0,0.9894735858052333,1,125.0
陕西省,2022,98843.0,95732.0,0.9685258440152565,1,100.0
陕西省,2021,90996.0,88291.0,0.9702734186118072,1,75.0
陕西省,2020,83520.0,81302.0,0.9734434865900383,1,50.0
陕西省,2019,78361.0,80942.0,1.0329373029951123,1,25.0
陕西省,2018,71983.0,74814.0,1.0393287303946765,1,0.0
陕西省,2017,65181.0,66995.0,1.027830195915988,1,0.0
陕西省,2016,59637.0,61509.0,1.0313899089491423,1,0.0
甘肃省,2024,101173.0,105158.0,1.0393879790062566,0,89.0
甘肃省,2023,99124.0,101666.0,1.025644647108672,0,62.5
甘肃省,2022,90870.0,92029.0,1.012754484428304,0,50.0
甘肃省,2021,84500.0,88007.0,1.0415029585798816,0,37.5
甘肃省,2020,79730.0,81533.0,1.0226138216480622,0,25.0
甘肃省,2019,73607.0,76480.0,1.039031613841075,0,12.5
甘肃省,2018,70695.0,74842.0,1.0586604427470119,0,0.0
甘肃省,2017,63374.0,68487.0,1.080679774039827,0,0.0
甘肃省,2016,57575.0,61593.0,1.0697872340425532,0,0.0
青海省,2024,122787.0,131799.0,1.0733953920203279,0,89.0
青海省,2023,121457.0,128265.0,1.0560527594127962,0,62.5
青海省,2022,115949.0,121833.0,1.0507464488697618,0,50.0
青海省,2021,109346.0,113595.0,1.0388583030014815,0,37.5
青海省,2020,101401.0,105119.0,1.036666305066025,0,25.0
青海省,2019,90929.0,92817.0,1.020763452803836,0,12.5
青海省,2018,85379.0,78625.0,0.9208938966256339,0,0.0
青海省,2017,75701.0,75747.0,1.0006076537958548,0,0.0
青海省,2016,66589.0,65582.0,0.984877382150205,0,0.0
宁夏回族自治区,2024,120355.0,136382.0,1.1331643886834781,0,89.0
宁夏回族自治区,2023,117681.0,135092.0,1.1479508161895293,0,62.5
宁夏回族自治区,2022,114631.0,128124.0,1.1177081243293698,0,50.0
宁夏回族自治区,2021,105266.0,122293.0,1.1617521326924174,0,37.5
宁夏回族自治区,2020,97438.0,113963.0,1.1695950245284181,0,25.0
宁夏回族自治区,2019,83947.0,102088.0,1.2161006349244166,0,12.5
宁夏回族自治区,2018,78384.0,94246.0,1.2023627270871606,0,0.0
宁夏回族自治区,2017,70298.0,83680.0,1.1903610344533273,0,0.0
宁夏回族自治区,2016,65570.0,71110.0,1.0844898581668445,0,0.0
新疆维吾尔自治区,2024,116329.0,138285.0,1.1887405548057663,0,89.0
新疆维吾尔自治区,2023,112305.0,132404.0,1.1789679889586395,0,62.5
新疆维吾尔自治区,2022,101764.0,116459.0,1.1444027357415196,0,50.0
新疆维吾尔自治区,2021,94281.0,109642.0,1.162927843361865,0,37.5
新疆维吾尔自治区,2020,86343.0,95037.0,1.1006914283728848,0,25.0
新疆维吾尔自治区,2019,79421.0,86131.0,1.0844864708326514,0,12.5
新疆维吾尔自治区,2018,75457.0,85671.0,1.1353618617225705,0,0.0
新疆维吾尔自治区,2017,67932.0,76240.0,1.122298769357593,0,0.0
新疆维吾尔自治区,2016,63739.0,70796.0,1.1107171433502252,0,0.0
江苏省,2024,129220.0,164574.0,1.2735954186658411,0,89.0
江苏省,2023,125102.0,167041.0,1.3352384454285304,0,62.5
江苏省,2022,121724.0,158503.0,1.3021507673096513,0,50.0
江苏省,2021,115133.0,153012.0,1.3290021106025205,0,37.5
江苏省,2020,103621.0,140575.0,1.3566265525327879,0,25.0
江苏省,2019,96527.0,128624.0,1.3325183627378867,0,12.5
江苏省,2018,84688.0,116589.0,1.3766885509163045,0,0.0
江苏省,2017,78267.0,104414.0,1.334074386395288,0,0.0
江苏省,2016,71574.0,92202.0,1.2882052141839215,0,0.0
上海市,2024,239557.0,282291.0,1.1783876071248178,1,178.0
上海市,2023,229337.0,254760.0,1.1108543322708504,1,125.0
上海市,2022,212476.0,227317.0,1.069847888702724,1,100.0
上海市,2021,191844.0,208717.0,1.0879516690644482,1,75.0
上海市,2020,171884.0,193028.0,1.1230131949454283,1,50.0
上海市,2019,149377.0,178711.0,1.1963756133809087,1,25.0
上海市,2018,140400.0,150648.0,1.072991452991453,1,0.0
上海市,2017,129795.0,138074.0,1.0637851997380485,1,0.0
上海市,2016,119935.0,125181.0,1.0437403593613208,1,0.0
黑龙江省,2024,99007.0,108691.0,1.09781126587009,0,89.0
黑龙江省,2023,95750.0,109095.0,1.1393733681462141,0,62.5
黑龙江省,2022,88235.0,93145.0,1.055646852156174,0,50.0
黑龙江省,2021,80369.0,85042.0,1.058144309373017,0,37.5
黑龙江省,2020,74554.0,76562.0,1.0269334978673177,0,25.0
黑龙江省,2019,68416.0,73454.0,1.0736377455565949,0,12.5
黑龙江省,2018,60780.0,71719.0,1.179976966107272,0,0.0
黑龙江省,2017,56067.0,66627.0,1.1883460859329018,0,0.0
黑龙江省,2016,52435.0,62122.0,1.1847430151616287,0,0.0
吉林省,2024,98418.0,111662.0,1.134568879676482,0,89.0
吉林省,2023,94937.0,108891.0,1.1469816825895067,0,62.5
吉林省,2022,87222.0,93662.0,1.0738345830180458,0,50.0
吉林省,2021,83028.0,93596.0,1.1272823625764803,0,37.5
吉林省,2020,77995.0,85195.0,1.0923136098467852,0,25.0
吉林省,2019,73813.0,78940.0,1.0694593093357538,0,12.5
吉林省,2018,68533.0,73939.0,1.0788817066230867,0,0.0
吉林省,2017,61451.0,67048.0,1.0910806984426615,0,0.0
吉林省,2016,56098.0,63307.0,1.1285072551606117,0,0.0
辽宁省,2024,99069.0,113918.0,1.1498854333848125,1,178.0
辽宁省,2023,97330.0,106856.0,1.0978732148361245,1,125.0
辽宁省,2022,92573.0,98938.0,1.0687565488857442,1,100.0
辽宁省,2021,86062.0,90805.0,1.0551114312937184,1,75.0
辽宁省,2020,79472.0,84506.0,1.0633430642238777,1,50.0
辽宁省,2019,72891.0,79344.0,1.0885294480800098,1,25.0
辽宁省,2018,67324.0,71596.0,1.063454340205573,1,0.0
辽宁省,2017,61153.0,68716.0,1.1236734093176133,1,0.0
辽宁省,2016,56015.0,62230.0,1.1109524234580024,1,0.0
内蒙古自治区,2024,113172.0,114790.0,1.0142968225356095,0,89.0
内蒙古自治区,2023,108856.0,110565.0,1.0156996398912324,0,62.5
内蒙古自治区,2022,100990.0,101008.0,1.0001782354688582,0,50.0
内蒙古自治区,2021,90426.0,91562.0,1.0125627584986618,0,37.5
内蒙古自治区,2020,85310.0,85734.0,1.0049701090141836,0,25.0
内蒙古自治区,2019,80563.0,80379.0,0.9977160731353103,0,12.5
内蒙古自治区,2018,73835.0,76424.0,1.0350646712263831,0,0.0
内蒙古自治区,2017,66679.0,72473.0,1.0868939246239446,0,0.0
内蒙古自治区,2016,61067.0,68009.0,1.1136784187859237,0,0.0
山西省,2024,97781.0,97009.0,0.9921048056370869,0,89.0
山西省,2023,95025.0,94660.0,0.9961589055511707,0,62.5
山西省,2022,90495.0,90202.0,0.9967622520581247,0,50.0
山西省,2021,82413.0,83104.0,1.0083845995170664,0,37.5
山西省,2020,74739.0,75370.0,1.0084427139779768,0,25.0
山西省,2019,69551.0,71111.0,1.0224295840462394,0,12.5
山西省,2018,65917.0,64300.0,0.9754691505984799,0,0.0
山西省,2017,60061.0,56466.0,0.9401441867434774,0,0.0
山西省,2016,53705.0,51145.0,0.9523321850851876,0,0.0
河北省,2024,97046.0,104524.0,1.077056241370072,0,89.0
河北省,2023,94818.0,103504.0,1.0916070788246957,0,62.5
河北省,2022,90745.0,97740.0,1.077084136867045,0,50.0
河北省,2021,82526.0,86762.0,1.0513292780457069,0,37.5
河北省,2020,77323.0,78829.0,1.0194767404265226,0,25.0
河北省,2019,72956.0,74784.0,1.0250561982564834,0,12.5
河北省,2018,68717.0,71854.0,1.0456510033907185,0,0.0
河北省,2017,63036.0,64190.0,1.0183069991750746,0,0.0
河北省,2016,55334.0,58566.0,1.0584089348321104,0,0.0
天津市,2024,142437.0,189524.0,1.3305812394251493,1,178.0
天津市,2023,138007.0,176468.0,1.278688762164238,1,125.0
天津市,2022,129522.0,166757.0,1.2874801192075478,1,100.0
天津市,2021,123528.0,162036.0,1.3117349912570428,1,75.0
天津市,2020,114682.0,150657.0,1.3136935177272806,1,50.0
天津市,2019,108002.0,148016.0,1.370493139015944,1,25.0
天津市,2018,100731.0,138100.0,1.3709781497255065,1,0.0
天津市,2017,94534.0,128833.0,1.3628218418769966,1,0.0
天津市,2016,86305.0,115367.0,1.3367359944383292,1,0.0
北京市,2024,224608.0,266947.0,1.188501745262858,1,178.0
北京市,2023,218312.0,251981.0,1.1542242295430394,1,125.0
北京市,2022,208977.0,230767.0,1.1042698478779962,1,100.0
北京市,2021,194651.0,216920.0,1.1144047551772147,1,75.0
北京市,2020,178178.0,201025.0,1.1282257068773922,1,50.0
北京市,2019,166803.0,208481.0,1.2498636115657393,1,25.0
北京市,2018,145766.0,187390.0,1.285553558442984,1,0.0
北京市,2017,131700.0,169191.0,1.2846697038724373,1,0.0
北京市,2016,119928.0,147903.0,1.2332649589753852,1,0.0
